reviews,sentiment
Did not work at all.,0.0
"Breaks very easily, and takes a while to load music",0.0
We bought this for my daughter for her birthday in July.  She turned 13.  She played it 3 times with the new albums she got for her birthday.  She went to listen to some more new albums she bought and it didn't work.  The turntable would not turn!!!  I went to replace this item and I was literally 5 days from the last chance date that I had to return this item.  Not happy at all.  Now she is upset!!!,0.0
Did not help my problem.,0.0
"Junk - will play MP3, but not WMA, even though the instructions it comes with says it will.  When you try to play WMA, you get &#34;FORMAT ERROR!&#34;.  My wife bought for a birthday present, by the time I opened it, I can no longer return it.  Instructions do not match player, menu, like everyone else said, is not intuitive.  To select something, you push &#34;Menu&#34;, when you would expect to push the button in the middle.  Aggravated with this player AND Amazon!",0.0
"I got these and used them a couple o times to swim. However, a few months after my purchase, I felt that one side was louder than the other. I turned them around and discovered that I'm not the one with a malfunction, but its this gadget somehow looses strength on one side. I bought these to replace my previous Sony Walkman, that suffered from the same malfunction. My conclusion is this: the Sony Walkman NWZW273S does NOT work!",0.0
did not support my xm radio it does not produce 12 v dc more like 8.5 v dc. they also have a no return policy go figure.,0.0
"Day 20 November 2014 acquired the JBL portable load Indoor / Outdoor Bluetooth Speaker | Black and hardly used it and 6.16.15 she has stopped working. Just take full charge when left more than 24 hours, yet their working time is no more than 2hs. The few times I used, was always loaded with accessories that accompanied it. I live in Brasilia-DF Brazil, not with the product warranty or aq even there in the USA. She when turned on, provides a noise as if in short circuit and after a while for the noise. only is working connected to the charger.<br /> It is expensive and that left me high and dry.<br /> Disappointed.",0.0
I was very dissapointed with the quality of the headphones they sound very low the battery dies in less then 2 hours which I find ironic because they are not even loud. The range from your phone to the actual headset is probably only like 2 feet because it disconnects everytime I got my phone in my pocket all around upset about the product especially for this price I could've bought any one of the 30 or 40 dollar headphone and it probably would've been the same or better,0.0
now they tell me you can't split optical audio,0.0
"Sorry, this cable worked for about a week then broke. I had ordered others before and same result. My fault for thinking things would change. Thought I had gotten a bad set, but that is the rule...not the exception. I'll try the more expensives ones from Bose.",0.0
"I ordered one, Loved it.  So I  gave the first one to my husband who was traveling for a month and ordered another for myself......wouldn't turn on after charging.  Returned for another one...same problem.  GRRRRRR!",0.0
I was unable to use them because they hurt my ears I used them for a total 30 min. and my ears felt like they were bruised.,0.0
"The turntable do not work correctly.  It was dragging!  Otherwise, the sound and other features worked well!!",0.0
"Bought Dec 6, 2014 and worked great until today... Now, the charger no longer charges and will not power the unit with the battery slide switch in OFF position. Checked the charger with a Volt Meter to be at 12.5 Vdc even with a 10 Ohm power resistor connected to it. Which means that the problem is in the Max A34. Not very easy to take apart as everything is glued with a soft glue gun. Now it is an expensive paper weight. Doubt 1 year warranty is worth anything, but will look into it. Cannot recommend this product based on this experience.",0.0
"I bought this 10 days ago. It was relatively easy to hook up. The auto-calibration took a few tries to get right, but I was pleased with the outcome. The sound was fantastic and really enhanced the viewing experience of my new Sony 4k 70&#34; television.<br /><br />Today it died. I was watching Band of Brothers, and halfway through episode 3 the sound just died. I did my own troubleshooting (I have an advanced degree in electrical engineering) and then called Sony support. They ran me through a few steps, and then escalated me to another department. After being on hold for 40 minutes, the line kicked off and said that the office I was trying to reach was closed for the day.<br /><br />So I am now 10 days into a three thousand dollar investment with Sony, and I am watching a football game with no sound while I type this.<br /><br />My receiver was a poor product. And the support line was awful.<br /><br />I am not happy.",0.0
Ordered to hookup a backup camera. This thing has different connectors on each end. I had one end hook up OK but had to find and RCA male to male adapter to make the other end right. I am not sure why they thought it was OK with differences from one end to the other.,0.0
"Comfortable, but terrible sound. Very tinny, with no bass at all.  I would return them and ask for my money back if I could.",0.0
"Trash, returned mine after 2 days. The pads are hard and very uncomfortable. It is completely plastic  and feels like it is  about to break. DONT BUY",0.0
"This had pretty good sound, but would not fit on my bike.  It requires you to have handlebars that are straight for at least the length of the speaker.  I didn't want to bend the cheap-looking clips too much, either.  However, the reason that I returned it was because it refused to charge out of the box.  Plugged in, it sounded rather nice, but that's kind of pointless for a bike speaker.",0.0
"I bought this as a replacement for my Verizon FIOS backup battery. The original battery lasted over three years... this one lasted 8 months. The &#34;Designed for long life: 6 - 8 years&#34; statement is a joke.<br /><br />I finally contacted the company after a week of trying (even after a year, their website listed on the battery is not working) and they offered me a replacement, however I had to ship the battery back to them first at my expense. To pay $20 to return a $23 battery for replacement is ridiculous, so their &#34;3-year replacement warranty&#34; is absolutely worthless.",0.0
"This player is an absolute fraud. the system is horrible to use you cant play playlists. its just a cheap knockoff, I hope apple sues them. I want my money back...",0.0
"this is worst, I test it when i got it since it arrived very very late..I charge it up within the 4 hours of charge time and tested it, it ok and then the next day it just malfunction/stop working till now..so this is just a garbage..",0.0
Fell apart,0.0
I've tried 2 of these and both screens failed in a year.,0.0
Product was defective but the customer service was fantastic..,0.0
Bearly open up the package and only 1 headphone works great.,0.0
USELESS AND BROKEN...Didn't even get to use it once.  Just utter poo quality.,0.0
One unit was broke off on arrival. In fact all of the liquid head spilled during shipment.,0.0
"These headphones are a hit or miss. I've ordered 3 pairs - the first one lasted a while but inevitably broke after years of good service.<br /><br />So, I ordered a second pair. No bueno. It literally went bad on the 2nd listen!! I procrastinated calling the customer support number the headphones came with and eventually lost the little piece of paper, so I ended up buying a 3rd pair hoping the bad luck with the second was just a fluke.<br /><br />The 3rd pair lasted literally a week before - it too broke. Basically, only one of the headphones receives sound - regardless of what the headphones are plugged into. No matter if it's a computer, a phone or something else - only the headphone opposite of the mic works - which is quite inconvenient.<br /><br />To make matters worse - half the time the sound quality of the working headphone is horrendous. Overall, I really regret giving JLab another chance and buying from them. Their newer models just don't work.  Not sure what happened to the quality of their products, but it's crazy to have 2 different pairs of headphones stop working almost right away!<br /><br />Beware!",0.0
"died on me only after a year of use, ridiculous, and I used it very little...will be contacting sandisk and amazon to see if they will warranty but probably won't.....",0.0
"This boombox played one time, and then wouldn't work at all afterwards. We tried multiple CDs and they spin, but don't play.  Really disappointed the 4 and 6 year old kids who it was a gift for. Find another boombox if you want one that actually plays music.",0.0
Bought the Blue Ant Pump HD Sportbuds three months ago.  They won't turn on anymore.  Manufacturer's website fails to give any instructions on how to fix this problem.  Sound quality was average. Nothing spectacular.  They don't fit as snugly as others claim.  External noise interferes with the listening experience.  Wouldn't buy these again.  Don't waste your money on these.  Look for something more reliable.,0.0
The flat cord I used twice and it already quit working.  I have a cord that I paid about 10 bucks for at a gas station and it has lasted 5+ years and this thing doesn't last 2 hours...... oh and wait now I can't return it because its been 30 days.  Do yourself a favor and buy something else from someone else.,0.0
"These worked fine at first, but now I have no control over the volume. It turns down on its own every time I plug in my headphones. Its so frustrating. And I'm very disappointed",0.0
This does not work. Do not buy it. And they will not refund or accept returns. It ships from China. Total waste of money!,0.0
"1. The display is too bright, even on the lowest setting, for something you want in your bedroom at night.<br />2. The “snooze” button actually only engages the snooze mode. You have to dial in the minutes on a second knob and then hit a third button to execute. Other clock radios have a single button that you hit and forget.<br />3. The pre-select buttons are not lit, nor can you distinguish them by touch. Other clock radios have buttons and controls you can see or distinguish by touch in the dark.<br />In addition, my unit is finicky: (a) It gets lost trying to buffer the stations, all while my other mobile devices are having no problem getting wifi from the same location. (b) Either the power supply input jack or the start button fails. I fiddle with them and the device eventually turns on.<br />Finally, ten preset buttons is hardly enough.",0.0
bought this product to replace my transmittor that was lost its a big scam,0.0
"This is a common battery scam that I see on eBay, and I'm sad to see it on Amazon as well.  The current maximum capacity for a 18650 size battery is 3400mAh with a maximum rated current of 6.8 amps.",0.0
The remote didn't work on my TV like it said it would,0.0
The lens color is backwards on the glasses I received.,0.0
"It only lasted one month working good. After a strange noise that appears,  I could not hear any.<br />Maybe because of the price, no wonder.",0.0
"Not a good product. Looses network constantly. Audio out seems to have a mind of its own! With volume all the way down, will occasionly drive full volume of a screeching noise! Ruins speakers. I expected better for $1800. Also, no customer support available. No phone numbers and web based tech request has gone unanswered.",0.0
